id,Data,Ano,Timestamp,Distribuidora,UC,Cliente,Modalidade,Grupo,ICMS,Contrato_kW,Contrato_P_kW,Contrato_FP_kW,Limite_P_kW,Limite_FP_kW,Limite_kW,CNP_kWh,CNF_kWh,CON_kWh,UFO_kVArh,UFF_kVArh,DNP_kW,DNF_kW,DEM_kW,Sobra_kW,Sobra_P_kW,Sobra_FP_kW,ULT_P_kW,ULT_FP_kW,ULT_kW,updatedAt,createdAt
63d271abe13210c07f2173f3,Jul-22,2022,1656633600000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,9686,85388,95074,0,90,211.68,297.36,297.36,302.64,0,0,211.68,297.36,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173f2,Jun-22,2022,1654041600000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,9161,77832,86993,0,262,186.48,252,252,348,0,0,186.48,252,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173f1,May-22,2022,1651363200000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,10139,87389,97528,0,314,201.6,342.72,342.72,257.28,0,0,201.6,342.72,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173f0,Apr-22,2022,1648771200000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,10599,98440,109039,0,195,374.64,703.92,703.92,0,0,0,374.64,703.92,103.92,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173ef,Mar-22,2022,1646092800000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,8078,93924,102002,15,204,215.04,433.44,433.44,166.56,0,0,215.04,433.44,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173ee,Feb-22,2022,1643673600000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,7470,88022,95492,14,156,206.64,352.8,352.8,247.2,0,0,206.64,352.8,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173ed,Jan-22,2022,1640995200000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,7168,79802,86970,44,509,211.68,314.16,314.16,285.84,0,0,211.68,314.16,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173ec,Dec-21,2021,1638316800000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,6975,74707,81682,136,649,201.6,359.52,359.52,240.48,0,0,201.6,359.52,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173eb,Nov-21,2021,1635724800000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,6082,68089,74171,108,783,194.88,336,336,264,0,0,194.88,336,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
63d271abe13210c07f2173ea,Oct-21,2021,1633046400000,CELESC,26454336,UDESC - CCT,VERDE,A4,0,600,0,0,0,0,630,5384,57393,62777,126,1005,122.64,208.32,208.32,391.68,0,0,122.64,208.32,0,2023-01-26T12:27:23.412Z,2023-01-26T12:27:23.412Z
