DATE,TIMESTAMP,CNP,CNF,UFO,UFF,DNP,SOBRA_P,DNF,SOBRA_FP,ULT_P,ULT_FP,DEM,SOBRA,ULT,BANDEIRA
Jan-14,1388534400000,4575.367872,11537.556372,104.144652,766.108944,0,0,0,0,0,0,2212.17481408,2684.9063859199996,0,0
Feb-14,1391212800000,8679.662862,21231.38122,22.260096,303.946496,0,0,0,0,0,0,5205.559131739999,0,615.95266348,0
Mar-14,1393632000000,14205.22432,22215.252024,6.995775,396.240696,0,0,0,0,0,0,6076.94834198,0,2179.96828396,0
Apr-14,1396310400000,12506.856208000001,19986.211531,6.9537249999999995,559.9139369999999,0,0,0,0,0,0,4872.630296439999,84.35130356,0,0
May-14,1398902400000,13064.640360000001,19304.625537,3.356568,508.79976600000003,0,0,0,0,0,0,3805.79322928,1179.09137072,0,0
Jun-14,1401580800000,10147.854080000001,16794.584313,8.648596999999999,838.3559349999999,0,0,0,0,0,0,2604.2128114199995,2367.71478858,0,0
Jul-14,1404172800000,7412.178394,13884.879836,109.104768,702.930198,0,0,0,0,0,0,1956.54899664,3106.98360336,0,0
Aug-14,1406851200000,13069.412164000001,21592.993086,2.0053799999999997,537.88748,0,0,0,0,0,0,4478.6287511,947.1622488999999,0,0
Sep-14,1409529600000,13253.929248,22373.75277,0.444828,488.421144,0,0,0,0,0,0,5091.22412739,324.68367261,0,0
Oct-14,1412121600000,14213.121683999998,25364.815236000002,10.611188,402.994466,0,0,0,0,0,0,4907.12354496,710.00505504,0,0
Nov-14,1414800000000,14941.454065999998,30553.301184,9.699252,370.376088,0,0,0,0,0,0,5899.52150195,0,813.8218039000001,0
Dec-14,1417392000000,9703.540413,25168.287679999998,68.03667399999999,757.865468,0,0,0,0,0,0,6135.9283701,0,1300.1475401999999,0
Jan-15,1420070400000,5257.212125,14260.42728,144.61363,841.49191,0,0,0,0,0,0,2652.06188804,2893.47771196,0,198.83431768728627
Feb-15,1422748800000,10558.404310000002,25167.312954,94.355828,433.761986,0,0,0,0,0,0,5969.06644191,0,784.64768382,650.5840366781285
Mar-15,1425168000000,16990.638186,29199.662824,10.116135,497.489039,0,0,0,0,0,0,5758.99723719,0,569.8508743799999,781.6728035184616
Apr-15,1427846400000,13253.612724000002,24183.627817,15.422264,586.27283,0,0,0,0,0,0,4929.701121280001,592.94847872,0,642.7582292849035
May-15,1430438400000,13029.723945,22971.421014,0,617.923218,0,0,0,0,0,0,3439.8298524399997,2120.68934756,0,613.0342857142857
Jun-15,1433116800000,12479.103494,23015.07456,9.23584,543.76008,0,0,0,0,0,0,4521.37819,1101.0610100000001,0,610.9396995482718
Jul-15,1435708800000,8795.926359000001,17960.242882000002,35.88416,431.058472,0,0,0,0,0,0,2954.34046778,2506.88413222,0,471.4229591836734
Aug-15,1438387200000,15607.795540000001,33799.52334,17.173376,526.739642,0,0,0,0,0,0,4153.38428512,1493.89311488,0,656.6587457381961
